Estado,ibgeID,Pop_estimada,Leitos,Inicio,lock_1,tau.lock1,lock_2,tau.lock2,lock_3,tau.lock3,lock_4,tau.lock4,lock_5,tau.lock5,lock_6,tau.lock6,IFR,X20200225,X20200226,X20200227,X20200228,X20200229,X20200301,X20200302,X20200303,X20200304,X20200305,X20200306,X20200307,X20200308,X20200309,X20200310,X20200311,X20200312,X20200313,X20200314,X20200315,X20200316,X20200317,X20200318,X20200319,X20200320,X20200321,X20200322,X20200323,X20200324,X20200325,X20200326,X20200327,X20200328,X20200329,X20200330,X20200331,X20200401,X20200402,X20200403,X20200404,X20200405,X20200406,X20200407,X20200408,X20200409,X20200410,X20200411,X20200412,X20200413,X20200414,X20200415,X20200416,X20200417,X20200418,X20200419,X20200420,X20200421,X20200422,X20200423,X20200424,X20200425,X20200426,X20200427,X20200428,X20200429,X20200430,X20200501,X20200502,X20200503,X20200504,X20200505,X20200506,X20200507,X20200508,X20200509,X20200510,X20200511,X20200512,X20200513,X20200514,X20200515,X20200516,X20200517,X20200518,X20200519
RONDONIA,11,1247681,208,25/02/2020,,,,,,,,,,,,,0.009625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2,0,1,0,0,0,2,1,0,1,0,1,3,4,5,3,2,4,2,8,0,27,4,19,18,18,32,39,24,0,27,40,38,36,29,20,20,69,83,69,51,51,105,82,155,124,41,39,96,62,152,74,108,125,44,80,370
ACRE,12,881935,36,25/02/2020,,,,,,,,,,,,,0.009625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,3,4,0,6,4,2,1,1,0,9,8,0,1,2,1,0,2,2,0,8,4,8,2,5,13,9,2,14,20,7,21,13,19,19,13,7,24,21,22,16,37,50,83,66,105,75,84,126,71,163,158,112,13,130,104,46,45,82,130,237,248
AMAZONAS,13,4071080,209,25/02/2020,,,,,,,,,,,,,0.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,4,4,15,6,15,7,13,14,30,29,11,24,25,29,31,51,106,115,104,168,95,82,69,156,69,209,70,165,90,88,147,116,110,209,409,306,441,198,95,409,464,453,469,339,621,630,796,1134,856,628,1198,674,320,1249,1648,1365,1211,1285,651,585,1219
RORAIMA,14,605761,8,25/02/2020,,,,,,,,,,,,,0.009625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6,0,2,2,4,0,0,0,10,4,7,5,0,0,7,3,11,12,4,4,30,1,28,22,37,21,22,3,33,17,7,41,56,6,18,0,27,67,83,66,72,66,63,63,88,104,78,88,5,116,0,89,89,117,85,85,109
PARA,15,8594626,441,25/02/2020,,,,,,,,,,,,,0.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,1,0,2,6,3,2,2,6,8,7,8,26,7,4,37,31,13,2,48,20,22,51,74,103,70,70,14,44,217,124,169,72,312,166,325,149,100,267,413,360,368,193,342,494,768,411,584,499,330,721,990,1285,1135,1159,826,737,1266,828
AMAPA,16,845731,28,25/02/2020,,,,,,,,,,,,,0.009625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,4,0,2,1,1,7,10,3,7,12,56,21,38,27,44,7,64,32,22,13,25,16,19,31,26,63,93,41,132,21,76,98,64,41,66,295,251,198,115,153,123,171,120,58,239,95,423,202,204,118,71,287
TOCANTINS,17,1572866,63,25/02/2020,,,,,,,,,,,,,0.009625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,2,0,0,1,1,0,1,1,1,0,0,1,3,1,2,0,4,0,0,2,1,0,1,2,2,1,1,1,1,2,0,6,7,8,9,12,37,21,27,27,55,21,36,48,72,71,79,115,59,81,104,97,150,100,0,217,0,150
MARANHAO,21,6952984,358,25/02/2020,,,,,,,,,,,,,0.010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,6,0,0,2,3,2,6,9,21,19,10,7,8,37,39,58,43,21,51,54,47,33,152,65,102,243,165,115,90,194,153,194,154,118,187,118,276,386,316,299,235,187,303,498,361,520,856,834,545,382,586,689,938,853,900,746,960,916
PIAUI,22,3273227,251,25/02/2020,16/03/2020,0.15,,,,,19/03/2020,0.15,,,,,0.009625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,2,0,2,1,0,1,1,3,4,0,1,0,3,2,0,2,5,7,2,1,3,7,7,17,16,11,21,21,14,28,20,11,39,41,34,33,44,46,59,87,65,77,42,91,74,102,80,102,45,54,111,169,172,121,180,167,35,153,197
CEARA,23,9132078,879,25/02/2020,16/03/2020,0.15,19/03/2020,0.33,,,19/03/2020,0.15,,,,,0.011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,9,1,48,16,41,39,21,26,26,45,40,37,23,19,44,120,93,87,218,83,143,205,51,113,110,79,189,136,220,120,335,315,246,179,229,400,586,419,546,593,523,202,426,450,139,309,70,2661,430,840,1578,1246,745,813,907,813,744,1921,1982,736,460,2108,1749
