Country,Cod,Pop_est,Leitos,Inicio,lock1,tau.lock1,lock2,tau.lock2,lock3,tau.lock3,lock4,tau.lock4,lock5,tau.lock5,lock6,tau.lock6,IFR,X20191231,X20200101,X20200102,X20200103,X20200104,X20200105,X20200106,X20200107,X20200108,X20200109,X20200110,X20200111,X20200112,X20200113,X20200114,X20200115,X20200116,X20200117,X20200118,X20200119,X20200120,X20200121,X20200122,X20200123,X20200124,X20200125,X20200126,X20200127,X20200128,X20200129,X20200130,X20200131,X20200201,X20200202,X20200203,X20200204,X20200205,X20200206,X20200207,X20200208,X20200209,X20200210,X20200211,X20200212,X20200213,X20200214,X20200215,X20200216,X20200217,X20200218,X20200219,X20200220,X20200221,X20200222,X20200223,X20200224,X20200225,X20200226,X20200227,X20200228,X20200229,X20200301,X20200302,X20200303,X20200304,X20200305,X20200306,X20200307,X20200308,X20200309,X20200310,X20200311,X20200312,X20200313,X20200314,X20200315,X20200316,X20200317,X20200318,X20200319,X20200320,X20200321,X20200322,X20200323,X20200324,X20200325,X20200326,X20200327,X20200328,X20200329,X20200330,X20200331,X20200401,X20200402,X20200403,X20200404,X20200405,X20200406,X20200407,X20200408,X20200409,X20200410,X20200411,X20200412,X20200413,X20200414,X20200415,X20200416,X20200417,X20200418,X20200419,X20200420,X20200421,X20200422,X20200423,X20200424,X20200425,X20200426,X20200427,X20200428,X20200429,X20200430,X20200501,X20200502,X20200503,X20200504,X20200505,X20200506,X20200507,X20200508
Afghanistan,1,37172386,,31/12/2019,,,,,,,,,,,,,0.00223809596741029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,3,6,5,1,0,0,2,0,10,6,2,33,0,16,15,8,27,25,26,43,0,35,29,38,30,56,61,37,34,52,58,49,70,10,51,63,88,35,61,84,105,70,112,68,172,124,122,222,164,134,235,190,330,168,171
Albania,2,2866376,,31/12/2019,,,,,,,,,01/04/2020,0.67,,,0.00704347885969282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,1,12,10,5,4,9,4,4,11,0,6,13,11,23,23,28,12,11,15,11,20,16,18,27,29,28,16,6,17,9,7,17,13,21,8,19,24,21,9,14,22,25,25,29,15,34,14,10,14,16,7,9,7,6,8,17,12,10
Algeria,3,42228429,3,31/12/2019,23/03/2020,0.15,,,,,,,,,,,0.00485046944934359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,2,7,5,0,0,3,0,0,0,5,1,11,11,10,2,12,18,12,37,62,29,34,38,65,42,45,57,73,132,131,139,185,80,69,103,45,104,94,95,64,89,69,87,90,108,150,117,94,89,93,99,97,120,129,126,135,132,199,158,148,141,179,174,190,159,185
Andorra,4,77006,,31/12/2019,,,16/03/2020,0.33,,,,,,,,,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,9,0,39,22,0,13,25,20,31,24,36,43,41,26,36,6,14,38,11,27,35,25,19,19,19,18,21,16,8,13,14,9,14,8,9,4,0,6,1,7,2,7,3,0,0,2,1,1,1,2,1,0,1
Angola,5,30809762,,31/12/2019,,,,,,,,,27/03/2020,0.67,,,0.00198243663577411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,3,0,0,1,0,0,2,4,2,1,2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,1,1,0,0,0,2,6,0,0,1,0,0
Anguilla,6,18090,,31/12/2019,,,,,,,,,,,,,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua_and_Barbuda,7,96286,,31/12/2019,,,,,,,,,30/03/2020,0.67,,,0.00558363618641826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,2,6,0,0,0,0,0,4,2,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Argentina,8,44494502,,31/12/2019,,,,,,,,,31/03/2020,0.67,,,0.00616196059492167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,6,1,3,0,7,0,12,3,11,11,9,14,18,31,30,67,41,35,86,115,87,101,55,75,146,0,167,0,132,186,103,74,87,80,99,81,162,66,69,160,0,128,98,170,102,90,112,144,147,0,344,0,223,124,158,143,104,149,102,104,133,188,163
Armenia,9,2951776,,31/12/2019,,,,,24/03/2020,0.53,,,,,,,0.00630515344702198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,2,7,7,10,22,26,37,7,14,24,30,4,71,25,39,43,52,0,58,50,39,92,73,34,52,11,20,28,40,16,30,46,26,72,48,42,47,43,48,62,72,50,73,81,69,62,59,65,0,134,82,125,113,121,112,163,102
Aruba,10,105845,,31/12/2019,,,,,,,,,30/03/2020,0.67,,,0.00765672356037646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,8,5,2,9,0,0,22,0,5,0,5,2,2,0,7,3,3,5,4,6,0,0,0,1,2,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Australia,11,24992369,1717,31/12/2019,,,,,,,,,31/03/2020,0.67,,,0.0074984426268219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,2,1,2,2,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,4,1,0,0,0,1,0,2,1,3,4,8,11,7,4,11,6,20,12,14,30,41,52,49,77,79,111,144,165,224,611,114,600,376,367,212,431,284,464,150,269,248,324,139,57,100,112,96,100,86,51,33,44,50,42,39,36,53,26,13,22,7,13,20,16,10,12,13,8,16,5,16,18,24,24,26,21
Austria,12,8847037,1202,31/12/2019,,,16/03/2020,0.33,,,,,31/03/2020,0.67,,,0.00896721194263501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,2,3,4,4,6,5,12,33,25,3,29,51,64,115,143,151,205,156,316,314,550,453,375,607,855,796,606,1141,668,594,522,805,564,529,418,396,241,217,314,343,329,279,312,247,130,106,191,136,78,155,59,48,73,50,91,61,83,66,55,67,58,50,60,34,12,68,31,17,65,22
Azerbaijan,13,9942334,,31/12/2019,,,16/03/2020,0.33,,,,,,,,,0.00450754218189413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,3,3,0,0,0,2,2,0,0,6,0,0,9,6,10,0,9,12,7,15,6,29,43,17,27,64,25,61,41,43,78,63,57,76,105,104,65,67,40,50,49,56,30,57,33,25,38,44,38,30,44,25,28,33,39,49,38,50,40,38,52,76,67,77
Bahamas,14,385640,,31/12/2019,,,,,,,,,,,,,0.00496891073419013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,1,4,0,2,3,0,1,6,3,0,4,1,4,3,4,1,1,4,1,2,0,4,1,1,3,2,4,1,5,2,1,5,2,0,0,0,1,1,1,0,0,6,3,0
Bahrain,15,1569439,,31/12/2019,,,,,13/03/2020,0.53,,,,,,,0.00295139049204758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,21,10,0,5,3,6,0,2,3,0,4,7,16,30,1,52,0,48,1,3,7,16,19,13,16,21,28,5,51,29,39,8,7,27,15,52,2,74,0,45,12,56,55,12,64,111,42,96,225,167,145,27,44,29,100,34,66,34,210,301,71,58,76,88,110,119,130,114,99,150,187,214,265
Bangladesh,16,161356039,,31/12/2019,,,,,14/03/2020,0.53,,,,,,,0.00416425593433635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,3,2,0,7,7,3,6,6,0,9,0,0,1,0,2,3,2,5,9,18,35,41,54,112,94,58,139,182,209,219,341,266,306,312,492,434,390,414,503,309,418,497,549,641,564,571,552,665,688,786,790,706
Barbados,17,286641,,31/12/2019,,,,,15/03/2020,0.53,,,,,,,0.00881529805263825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,8,3,0,1,0,6,0,2,7,1,0,11,0,0,6,5,4,3,0,3,1,1,3,1,1,2,0,0,0,0,0,0,1,0,0,3,0,1,0,0,1,0,0,1,0,0,0,0
Belarus,18,9485386,,31/12/2019,,,16/03/2020,0.33,16/03/2020,0.53,,,,,,,0.00750861846140093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,2,0,0,0,0,0,3,3,9,0,0,6,9,0,10,11,0,19,0,5,0,5,0,8,0,0,11,47,0,102,97,43,170,136,161,205,420,495,245,352,341,362,447,476,575,0,0,1485,459,558,741,751,817,873,826,919,973,846,890,911,877,784,861,905,913
Belgium,19,11422068,1629,31/12/2019,,,16/03/2020,0.33,17/03/2020,0.53,,,,,,,0.00981762790862207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,5,10,27,59,60,31,39,28,47,85,160,130,197,199,158,243,309,462,558,586,342,526,668,1298,1049,1850,1702,1063,876,1189,1384,1422,1661,1260,1123,1380,1209,1580,1684,1351,1629,942,530,2454,1236,1329,1045,1313,1487,973,933,908,1496,1032,809,553,647,525,660,513,485,389,361,242,272,639
Belize,20,383071,,31/12/2019,,,,,18/03/2020,0.53,,,,,,,0.00359188304548337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,2,0,1,1,1,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
